iOS Emoji

by Eric Fredricksen 2016 (source code)
This'll work best in Safari; Chrome will show most of it correctly.
[dense] [descriptive]
People
😀	GRINNING FACE	&#x1f600;
😬	GRIMACING FACE	&#x1f62c;
😁	GRINNING FACE WITH SMILING EYES	&#x1f601;
😂	FACE WITH TEARS OF JOY	&#x1f602;
😃	SMILING FACE WITH OPEN MOUTH	&#x1f603;
😄	SMILING FACE WITH OPEN MOUTH AND SMILING EYES	&#x1f604;
😅	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT	&#x1f605;
😆	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES	&#x1f606;
😇	SMILING FACE WITH HALO	&#x1f607;
😉	WINKING FACE	&#x1f609;
😊	SMILING FACE WITH SMILING EYES	&#x1f60a;
🙂	SLIGHTLY SMILING FACE	&#x1f642;
🙃	UPSIDE-DOWN FACE	&#x1f643;
☺️	WHITE SMILING FACE	&#x263a;&#xfe0f;
😋	FACE SAVOURING DELICIOUS FOOD	&#x1f60b;
😌	RELIEVED FACE	&#x1f60c;
😍	SMILING FACE WITH HEART-SHAPED EYES	&#x1f60d;
😘	FACE THROWING A KISS	&#x1f618;
😗	KISSING FACE	&#x1f617;
😙	KISSING FACE WITH SMILING EYES	&#x1f619;
😚	KISSING FACE WITH CLOSED EYES	&#x1f61a;
😜	FACE WITH STUCK-OUT TONGUE AND WINKING EYE	&#x1f61c;
😝	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES	&#x1f61d;
😛	FACE WITH STUCK-OUT TONGUE	&#x1f61b;
🤑	MONEY-MOUTH FACE	&#x1f911;
🤓	NERD FACE	&#x1f913;
😎	SMILING FACE WITH SUNGLASSES	&#x1f60e;
🤗	HUGGING FACE	&#x1f917;
😏	SMIRKING FACE	&#x1f60f;
😶	FACE WITHOUT MOUTH	&#x1f636;
😐	NEUTRAL FACE	&#x1f610;
😑	EXPRESSIONLESS FACE	&#x1f611;
😒	UNAMUSED FACE	&#x1f612;
🙄	FACE WITH ROLLING EYES	&#x1f644;
🤔	THINKING FACE	&#x1f914;
😳	FLUSHED FACE	&#x1f633;
😞	DISAPPOINTED FACE	&#x1f61e;
😟	WORRIED FACE	&#x1f61f;
😠	ANGRY FACE	&#x1f620;
😡	POUTING FACE	&#x1f621;
😔	PENSIVE FACE	&#x1f614;
😕	CONFUSED FACE	&#x1f615;
🙁	SLIGHTLY FROWNING FACE	&#x1f641;
☹️	WHITE FROWNING FACE	&#x2639;&#xfe0f;
😣	PERSEVERING FACE	&#x1f623;
😖	CONFOUNDED FACE	&#x1f616;
😫	TIRED FACE	&#x1f62b;
😩	WEARY FACE	&#x1f629;
😤	FACE WITH LOOK OF TRIUMPH	&#x1f624;
😮	FACE WITH OPEN MOUTH	&#x1f62e;
😱	FACE SCREAMING IN FEAR	&#x1f631;
😨	FEARFUL FACE	&#x1f628;
😰	FACE WITH OPEN MOUTH AND COLD SWEAT	&#x1f630;
